concept,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,temperature_celsius,temperature_fahrenheit,temperature_kelvin,value_us dollars,value_euros,value_pounds,weight_kilograms,weight_grams,weight_pounds,weight_ounces,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,texture,colour,material,shape,pattern,location,disposition,model_name
cow,1.4,140.0,1400.0,55.118110236220474,4.593175853018372,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.6,101.48,311.75,1200.0,1090.9090909090908,923.076923076923,600.0,600000.0,1322.7746521102665,21164.394433764264,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],"['black', 'seal brown', 'white']","['fur', 'skin']","['cylindrical', 'rectangle']",[],"['barn', 'farm', 'field', 'pasture']","['docile', 'gentle', 'social', 'sturdy']",MTurk
cow,1.4,140.0,1400.0,55.118110236220474,4.593175853018372,0.025,2.5,25.0,0.984251968503937,0.08202099737532809,38.5,101.3,311.65,2000.0,1818.181818181818,1538.4615384615383,575.0,575000.0,1267.659041605672,20282.54466569075,0.01,1.0,10.0,0.3937007874015748,0.03280839895013123,[],"['black', 'seal brown', 'white']",['leather'],"['cylindrical', 'rectangle']",[],[],"['docile', 'friendly', 'gentle', 'strong', 'tough']",MTurk
cow,1.4,140.0,1400.0,55.118110236220474,4.593175853018372,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,38.5,101.3,311.65,2000.0,1818.181818181818,1538.4615384615383,600.0,600000.0,1322.7746521102665,21164.394433764264,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['black', 'red', 'seal brown', 'white']","['bone', 'fur', 'skin']",[],[],"['barn', 'farm', 'field', 'market', 'pasture']","['calm', 'docile', 'gentle', 'herbivorous', 'social']",MTurk
elephant,2.5,250.0,2500.0,98.4251968503937,8.202099737532809,3.048,304.8,3048.0,120.00000000000001,10.0,50.0,122.0,323.15,1000.0,909.090909090909,769.2307692307692,500.0,500000.0,1102.3122100918888,17636.99536147022,,,,,,[],['black'],[],['oval'],[],['forest'],['tough'],MTurk
elephant,10.5,1050.0,10500.0,413.38582677165357,34.44881889763779,21.0,2100.0,21000.0,826.7716535433071,68.89763779527559,2.4444444444444438,36.4,275.59444444444443,1.7,1.5454545454545454,1.3076923076923075,9000.0,9000000.0,19841.619781653997,317465.91650646395,-1.5,-150.0,-1500.0,-59.05511811023622,-4.921259842519684,[],['grey'],[],['oval'],[],['forest'],['friendly'],MTurk
elephant,2.1,210.0,2100.0,82.67716535433071,6.889763779527559,2.0,200.0,2000.0,78.74015748031496,6.561679790026247,,,,,,,160.0,160000.0,352.73990722940437,5643.83851567047,2.0,200.0,2000.0,78.74015748031496,6.561679790026247,[],['black'],[],['rectangle'],[],['forest'],[],MTurk
bear,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,37.0,98.6,310.15,,,,0.3,300.0,0.6613873260551333,10.582197216882133,0.9,90.0,900.0,35.43307086614173,2.9527559055118107,[],"['black', 'green', 'grey', 'seal brown', 'white']","['bone', 'fur', 'metal', 'plastic']",['cylindrical'],[],['tundra'],"['aggressive', 'strong', 'tough']",MTurk
bear,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,37.0,98.6,310.15,,,,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['black', 'seal brown', 'white']","['bone', 'fur', 'skin']",[],[],"['forest', 'park']","['intelligent', 'powerful', 'strong']",MTurk
bear,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,37.0,98.6,310.15,,,,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['black', 'seal brown', 'white']","['bone', 'fur', 'skin']",[],[],"['forest', 'park']","['intelligent', 'powerful', 'strong']",MTurk
zebra,1.3,130.0,1300.0,51.181102362204726,4.2650918635170605,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.5,101.3,311.65,4000.0,3636.363636363636,3076.9230769230767,350.0,350000.0,771.6185470643221,12345.896753029154,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],"['black', 'or', 'white']",['bone'],[],['striped'],[],"['fast', 'skittish', 'tough', 'wary']",MTurk
zebra,0.0014,0.13999999999999999,1.4,0.055118110236220465,0.004593175853018373,0.0022,0.22000000000000003,2.2,0.08661417322834647,0.007217847769028872,37.5,99.5,310.65,2250.0,2045.4545454545455,1730.7692307692307,400.0,400000.0,881.849768073511,14109.596289176176,0.0006,0.06,0.6,0.023622047244094488,0.001968503937007874,[],"['black', 'white']","['fur', 'skin']","['cylindrical', 'rectangle']",['striped'],[],"['alert', 'social', 'tough']",MTurk
zebra,1.4,140.0,1400.0,55.118110236220474,4.593175853018372,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.5,101.3,311.65,3000.0,2727.272727272727,2307.6923076923076,300.0,300000.0,661.3873260551333,10582.197216882132,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],"['black', 'white']",[],[],['striped'],[],"['social', 'tough', 'wary']",MTurk
giraffe,,,,,,5.8,580.0,5800.0,228.3464566929134,19.028871391076112,39.0,102.2,312.15,,,,2000.0,2000000.0,4409.248840367555,70547.98144588088,5.5,550.0,5500.0,216.53543307086613,18.044619422572175,[],"['seal brown', 'white']",[],['cylindrical'],[],[],"['calm', 'curious', 'gentle']",MTurk
giraffe,5.5,550.0,5500.0,216.53543307086613,18.044619422572175,3.0,300.0,3000.0,118.11023622047244,9.842519685039369,38.5,101.3,311.65,,,,1200.0,1200000.0,2645.549304220533,42328.78886752853,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,[],"['black', 'seal brown', 'yellow']","['bone', 'fur', 'skin']",['cylindrical'],[],[],"['docile', 'gentle', 'graceful', 'majestic', 'observant', 'quiet', 'timid']",MTurk
giraffe,5.5,550.0,5500.0,216.53543307086613,18.044619422572175,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.5,101.3,311.65,40000.0,36363.63636363636,30769.230769230766,1200.0,1200000.0,2645.549304220533,42328.78886752853,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],['seal brown'],[],['cylindrical'],[],[],"['alert', 'durable', 'gentle', 'shy', 'social']",MTurk
backpack,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,,,,50.0,45.45454545454545,38.46153846153846,1.0,1000.0,2.2046244201837775,35.27399072294044,,,,,,[],"['black', 'blue', 'green', 'grey', 'pink', 'red', 'silver']","['leather', 'plastic']","['cylindrical', 'oval', 'rectangle', 'square']","['polka-dotted', 'striped']","['bedroom', 'classroom', 'closet', 'garage', 'office']","['durable', 'flexible', 'lightweight', 'water-resistant']",MTurk
backpack,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,,,,40.0,36.36363636363636,30.769230769230766,0.8,800.0,1.763699536147022,28.219192578352352,0.3,30.0,300.0,11.811023622047244,0.984251968503937,[],"['black', 'blue', 'green', 'grey', 'red']","['leather', 'plastic']","['cylindrical', 'oval', 'rectangle']",['striped'],['office'],"['durable', 'flexible', 'portable', 'water-resistant']",MTurk
backpack,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,25.0,77.0,298.15,70.0,63.63636363636363,53.84615384615384,0.8,800.0,1.763699536147022,28.219192578352352,0.3,30.0,300.0,11.811023622047244,0.984251968503937,['woven'],"['black', 'blue', 'green', 'grey', 'red', 'seal brown']","['fabric', 'leather']","['cylindrical', 'rectangle']",[],"['closet', 'office']","['comfortable', 'durable', 'functional', 'portable', 'versatile']",MTurk
umbrella,0.85,85.0,850.0,33.46456692913386,2.788713910761155,0.6,60.0,600.0,23.62204724409449,1.968503937007874,,,,20.0,18.18181818181818,15.384615384615383,0.45,450.0,0.9920809890826999,15.873295825323199,1.05,105.0,1050.0,41.338582677165356,3.4448818897637796,[],"['black', 'blue', 'green', 'grey', 'multicolored', 'red', 'yellow']","['plastic', 'rubber']","['circular', 'cylindrical']","['polka-dotted', 'striped']","['closet', 'office']","['fragile', 'lightweight', 'water-resistant']",MTurk
umbrella,,,,,,,,,,,-17.86111111111111,-0.14999999999999858,255.28888888888886,30.0,27.272727272727273,23.076923076923073,0.1,100.0,0.22046244201837775,3.527399072294044,1.25,125.0,1250.0,49.21259842519685,4.101049868766404,['grooved'],"['black', 'blue', 'red', 'silver']","['fabric', 'metal', 'plastic', 'rubber', 'wood']","['circular', 'oval']","['polka-dotted', 'striped']",[],"['portable', 'water-resistant', 'weather-resistant']",MTurk
umbrella,0.05,5.0,50.0,1.968503937007874,0.16404199475065617,0.3,30.0,300.0,11.811023622047244,0.984251968503937,25.0,77.0,298.15,20.0,18.18181818181818,15.384615384615383,0.4,400.0,0.881849768073511,14.109596289176176,1.0,100.0,1000.0,39.37007874015748,3.2808398950131235,[],"['black', 'blue', 'grey', 'navy blue', 'red']","['metal', 'plastic']","['cylindrical', 'round']",['striped'],"['closet', 'doorway', 'office', 'restaurant']","['fragile', 'portable', 'protective', 'utilitarian', 'water-resistant']",MTurk
handbag,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,0.3,30.0,300.0,11.811023622047244,0.984251968503937,25.0,77.0,298.15,100.0,90.9090909090909,76.92307692307692,0.5,500.0,1.1023122100918887,17.63699536147022,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,['woven'],"['black', 'blue', 'green', 'or', 'pink', 'red', 'seal brown', 'silver', 'white']","['fabric', 'leather', 'metal', 'plastic']","['oval', 'rectangle', 'round', 'square']",['striped'],"['closet', 'restaurant']","['durable', 'fashionable', 'personal', 'portable', 'protective', 'versatile']",MTurk
handbag,0.006,0.6000000000000001,6.0,0.23622047244094488,0.01968503937007874,0.008,0.8,8.0,0.31496062992125984,0.026246719160104987,-14.444444444444445,6.0,258.7055555555555,6.6000000000000005,6.0,5.076923076923077,3.175144,3175.144,7.0,112.0,0.007,0.7000000000000001,7.0,0.2755905511811024,0.022965879265091863,[],['silver'],['plastic'],['rectangle'],[],['garage'],['fragile'],MTurk
handbag,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.3,30.0,300.0,11.811023622047244,0.984251968503937,,,,75.0,68.18181818181817,57.692307692307686,0.8,800.0,1.763699536147022,28.219192578352352,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,[],"['black', 'blue', 'red', 'seal brown']","['leather', 'metal']","['cylindrical', 'oval', 'rectangle', 'square']","['polka-dotted', 'striped']","['bedroom', 'closet', 'office', 'restaurant']","['durable', 'flexible', 'portable']",MTurk
tie,0.071,7.1,71.0,2.795275590551181,0.23293963254593175,0.071,7.1,71.0,2.795275590551181,0.23293963254593175,20.0,68.0,293.15,15.0,13.636363636363637,11.538461538461537,0.16,160.0,0.3527399072294044,5.6438385156704705,0.071,7.1,71.0,2.795275590551181,0.23293963254593175,[],"['blue', 'red']",['rubber'],['cylindrical'],[],"['basement', 'garage']",['durable'],MTurk
tie,,,,,,1.45,145.0,1450.0,57.08661417322835,4.757217847769029,,,,25.0,22.727272727272727,19.23076923076923,0.05,50.0,0.11023122100918888,1.763699536147022,0.75,75.0,750.0,29.52755905511811,2.4606299212598426,[],"['black', 'blue', 'green', 'navy blue', 'red', 'silver']",[],['rectangle'],"['dotted', 'paisley', 'striped']",['closet'],['flexible'],MTurk
tie,,,,,,1.45,145.0,1450.0,57.08661417322835,4.757217847769029,25.0,77.0,298.15,50.0,45.45454545454545,38.46153846153846,0.1,100.0,0.22046244201837775,3.527399072294044,0.08,8.0,80.0,3.1496062992125986,0.26246719160104987,"['knitted', 'woven']","['black', 'blue', 'green', 'grey', 'navy blue', 'or', 'purple', 'red', 'seal brown', 'silver', 'yellow']",[],[],"['paisley', 'striped']",['closet'],"['elegant', 'fashionable', 'professional']",MTurk
suitcase,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.6,60.0,600.0,23.62204724409449,1.968503937007874,,,,100.0,90.9090909090909,76.92307692307692,3.5,3500.0,7.716185470643222,123.45896753029155,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,[],"['black', 'blue', 'grey', 'navy blue', 'red', 'seal brown', 'silver']","['fabric', 'leather', 'metal', 'plastic']","['cylindrical', 'rectangle', 'square']",['striped'],"['bedroom', 'closet', 'garage', 'hotel']","['durable', 'impact-resistant', 'lightweight', 'water-resistant']",MTurk
suitcase,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.6,60.0,600.0,23.62204724409449,1.968503937007874,25.0,77.0,298.15,150.0,136.36363636363635,115.38461538461537,3.0,3000.0,6.613873260551332,105.82197216882132,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,['woven'],"['black', 'blue', 'green', 'grey', 'pink', 'purple', 'red', 'silver']","['fabric', 'leather', 'metal', 'plastic', 'rubber']",['rectangle'],['striped'],"['bedroom', 'closet', 'hotel']","['durable', 'lightweight', 'portable', 'protective', 'tough']",MTurk
suitcase,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.65,65.0,650.0,25.590551181102363,2.1325459317585302,,,,80.0,72.72727272727272,61.53846153846153,3.5,3500.0,7.716185470643222,123.45896753029155,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,[],"['black', 'blue', 'red']","['fabric', 'metal', 'plastic']","['cylindrical', 'rectangle', 'square']","['polka-dotted', 'striped']","['bedroom', 'closet']","['durable', 'portable', 'water-resistant']",MTurk
frisbee,0.03,3.0,30.0,1.1811023622047245,0.09842519685039369,,,,,,,,,10.0,9.09090909090909,7.692307692307692,0.17500000000000002,175.0,0.3858092735321611,6.172948376514578,0.635,63.5,635.0,25.0,2.083333333333333,[],"['green', 'orange', 'red']",['plastic'],['circular'],['striped'],"['beach', 'garage', 'park']","['durable', 'lightweight']",MTurk
frisbee,0.03,3.0,30.0,1.1811023622047245,0.09842519685039369,,,,,,,,,10.0,9.09090909090909,7.692307692307692,0.17500000000000002,175.0,0.3858092735321611,6.172948376514578,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,['grooved'],"['black', 'blue', 'green', 'orange', 'pink', 'red', 'white', 'yellow']","['plastic', 'rubber']",['circular'],[],"['beach', 'field', 'garage', 'park']","['durable', 'flexible', 'lightweight', 'water-resistant']",MTurk
frisbee,0.03,3.0,30.0,1.1811023622047245,0.09842519685039369,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,,,,10.0,9.09090909090909,7.692307692307692,0.17500000000000002,175.0,0.3858092735321611,6.172948376514578,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,[],"['blue', 'green', 'orange', 'red', 'yellow']",['plastic'],['circular'],[],[],"['durable', 'flexible', 'lightweight', 'portable', 'resistant']",MTurk
skis,,,,,,1.6,160.0,1600.0,62.99212598425197,5.2493438320209975,,,,500.0,454.5454545454545,384.6153846153846,1.8,1800.0,3.9683239563307997,63.493183301292795,0.085,8.5,85.0,3.3464566929133857,0.27887139107611547,[],"['black', 'blue', 'green', 'multicolored', 'or', 'red', 'silver', 'white']","['metal', 'plastic', 'wood']",[],['striped'],"['basement', 'closet', 'garage']","['durable', 'flexible', 'tough', 'water-resistant']",MTurk
skis,1.2192,121.92,1219.2,48.00000000000001,4.0,,,,,,,,,,,,2.0,2000.0,4.409248840367555,70.54798144588088,,,,,,[],['red'],['metal'],['rectangle'],[],[],['durable'],MTurk
skis,0.025,2.5,25.0,0.984251968503937,0.08202099737532809,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,5.0,41.0,278.15,600.0,545.4545454545454,461.5384615384615,1.8,1800.0,3.9683239563307997,63.493183301292795,0.09,9.0,90.0,3.543307086614173,0.2952755905511811,[],"['black', 'blue', 'green', 'grey', 'orange', 'red', 'silver', 'white', 'yellow']",[],[],[],[],"['durable', 'tough']",MTurk
snowboard,0.012,1.2,12.0,0.47244094488188976,0.03937007874015748,1.5,150.0,1500.0,59.05511811023622,4.921259842519685,,,,400.0,363.6363636363636,307.6923076923077,5.0,5000.0,11.023122100918886,176.36995361470218,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,[],"['black', 'blue', 'green', 'white']","['metal', 'plastic', 'wood']",['rectangle'],[],"['closet', 'garage']","['durable', 'impact-resistant', 'water-resistant']",MTurk
snowboard,0.005,0.5,5.0,0.1968503937007874,0.016404199475065617,1.55,155.0,1550.0,61.023622047244096,5.0853018372703405,0.0,32.0,273.15,400.0,363.6363636363636,307.6923076923077,3.0,3000.0,6.613873260551332,105.82197216882132,0.28,28.0,280.0,11.023622047244094,0.9186351706036745,[],"['black', 'blue', 'green', 'grey', 'red', 'white', 'yellow']","['metal', 'plastic', 'rubber', 'wood']","['oblong', 'rectangle']",[],"['garage', 'mountain', 'park']","['durable', 'fast', 'flexible', 'lightweight', 'maneuverable', 'rigid', 'stable', 'tough', 'weather-resistant']",MTurk
snowboard,0.005,0.5,5.0,0.1968503937007874,0.016404199475065617,1.55,155.0,1550.0,61.023622047244096,5.085301837270341,0.0,32.0,273.15,400.0,363.6363636363636,307.6923076923077,3.0,3000.0,6.613873260551332,105.82197216882132,0.28,28.0,280.0,11.023622047244094,0.9186351706036745,[],"['black', 'blue', 'green', 'red', 'white']","['plastic', 'wood']","['oblong', 'rectangle']",[],"['garage', 'mountain']","['durable', 'fast', 'stable']",MTurk
sports ball,0.22,22.0,220.0,8.661417322834646,0.7217847769028871,,,,,,,,,20.0,18.18181818181818,15.384615384615383,0.45,450.0,0.9920809890826999,15.873295825323199,0.22,22.0,220.0,8.661417322834646,0.7217847769028871,['bumpy'],"['black', 'green', 'orange', 'red', 'seal brown', 'white', 'yellow']","['leather', 'plastic', 'rubber']",['oval'],['striped'],"['closet', 'field', 'garage', 'playground']","['durable', 'water-resistant']",MTurk
sports ball,0.071,7.1,71.0,2.795275590551181,0.23293963254593175,0.071,7.1,71.0,2.795275590551181,0.23293963254593175,22.5,72.5,295.65,15.0,13.636363636363637,11.538461538461537,0.16,160.0,0.3527399072294044,5.6438385156704705,0.071,7.1,71.0,2.795275590551181,0.23293963254593175,[],"['red', 'white']",['rubber'],[],[],"['basement', 'garage']",['durable'],MTurk
sports ball,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,,,,,,,,,25.0,22.727272727272727,19.23076923076923,0.5,500.0,1.1023122100918887,17.63699536147022,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,[],"['black', 'orange', 'red', 'seal brown', 'white']","['leather', 'plastic', 'rubber']",['oblong'],[],"['field', 'playground']","['durable', 'flexible', 'water-resistant']",MTurk
kite,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,0.6,60.0,600.0,23.62204724409449,1.968503937007874,,,,10.0,9.09090909090909,7.692307692307692,0.2,200.0,0.4409248840367555,7.054798144588088,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,[],"['blue', 'green', 'multicolored', 'red', 'silver', 'yellow']","['paper', 'plastic']","['delta', 'octagon', 'rectangle', 'rhombus']","['polka-dotted', 'striped']","['attic', 'beach', 'closet', 'garage', 'park']","['fragile', 'lightweight']",MTurk
kite,0.05,5.0,50.0,1.968503937007874,0.16404199475065617,0.6,60.0,600.0,23.62204724409449,1.968503937007874,,,,10.0,9.09090909090909,7.692307692307692,0.2,200.0,0.4409248840367555,7.054798144588088,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,[],"['blue', 'green', 'red', 'silver', 'yellow']","['paper', 'plastic', 'wood']","['delta', 'octagon', 'rectangle', 'rhombus']",['striped'],"['beach', 'garage', 'park']","['fragile', 'lightweight']",MTurk
kite,,,,,,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,,,,15.0,13.636363636363637,11.538461538461537,0.1,100.0,0.22046244201837775,3.527399072294044,0.5,50.0,500.0,19.68503937007874,1.6404199475065615,[],"['blue', 'green', 'multicolored', 'orange', 'red', 'silver', 'yellow']","['paper', 'plastic', 'wood']","['hexagon', 'rectangle']",['striped'],[],"['durable', 'fragile', 'lightweight']",MTurk
baseball bat,,,,,,0.81,81.0,810.0,31.88976377952756,2.65748031496063,,,,50.0,45.45454545454545,38.46153846153846,0.95,950.0,2.0943931991745885,33.51029118679342,0.066,6.6,66.0,2.5984251968503935,0.21653543307086612,[],"['black', 'blue', 'red', 'seal brown', 'silver']","['metal', 'plastic', 'wood']","['cylinder', 'cylindrical']",['striped'],"['closet', 'garage']","['durable', 'impact-resistant', 'tough']",MTurk
baseball bat,0.9652,96.52,965.1999999999999,38.0,3.1666666666666665,0.9652,96.52,965.1999999999999,38.0,3.1666666666666665,35.55555555555556,96.0,308.7055555555555,50.0,45.45454545454545,38.46153846153846,0.8504849999999999,850.485,1.875,30.0,0.06095999999999999,6.096,60.959999999999994,2.4,0.19999999999999998,[],['seal brown'],['wood'],['cylindrical'],[],[],['tough'],MTurk
baseball bat,,,,,,0.86,86.0,860.0,33.85826771653544,2.8215223097112863,25.0,77.0,298.15,100.0,90.9090909090909,76.92307692307692,0.9,900.0,1.9841619781653999,31.746591650646398,0.065,6.5,65.0,2.5590551181102366,0.21325459317585302,[],"['black', 'blue', 'green', 'red', 'seal brown', 'silver', 'white']","['rubber', 'wood']",['cylindrical'],[],"['field', 'garage']","['durable', 'impact-resistant', 'powerful', 'rigid', 'strong']",MTurk
baseball glove,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,0.3,30.0,300.0,11.811023622047244,0.984251968503937,,,,100.0,90.9090909090909,76.92307692307692,0.6,600.0,1.3227746521102666,21.164394433764265,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,[],"['black', 'seal brown']",['leather'],"['ball', 'hand']",[],[],"['durable', 'essential', 'flexible', 'protective', 'rigid', 'tough']",MTurk
baseball glove,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,0.28,28.0,280.0,11.023622047244094,0.9186351706036745,22.0,71.6,295.15,60.0,54.54545454545455,46.153846153846146,0.6,600.0,1.3227746521102666,21.164394433764265,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,[],"['black', 'blue', 'or', 'red', 'seal brown']",['leather'],[],[],"['field', 'garage']","['durable', 'flexible', 'grippy']",MTurk
baseball glove,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,0.3,30.0,300.0,11.811023622047244,0.984251968503937,25.0,77.0,298.15,80.0,72.72727272727272,61.53846153846153,0.7,700.0,1.5432370941286442,24.691793506058307,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,[],"['black', 'blue', 'grey', 'or', 'red', 'seal brown']",['leather'],[],[],"['closet', 'field']","['durable', 'essential', 'protective']",MTurk
skateboard,0.12,12.0,120.0,4.724409448818898,0.39370078740157477,0.81,81.0,810.0,31.88976377952756,2.65748031496063,,,,75.0,68.18181818181817,57.692307692307686,3.2,3200.0,7.054798144588088,112.87677031340941,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,[],"['black', 'blue', 'green', 'or', 'red', 'silver']","['metal', 'plastic', 'rubber', 'wood']","['oval', 'rectangle']",['striped'],"['bedroom', 'garage']","['durable', 'flexible', 'fragile', 'tough']",MTurk
skateboard,0.13,13.0,130.0,5.118110236220473,0.42650918635170604,0.81,81.0,810.0,31.88976377952756,2.65748031496063,,,,75.0,68.18181818181817,57.692307692307686,3.0,3000.0,6.613873260551332,105.82197216882132,0.13,13.0,130.0,5.118110236220473,0.42650918635170604,[],"['black', 'blue', 'green', 'red', 'silver']","['metal', 'wood']",['rectangle'],['striped'],"['bedroom', 'garage', 'park']","['durable', 'fragile', 'impact-resistant']",MTurk
skateboard,0.127,12.7,127.0,5.0,0.41666666666666663,0.7874,78.74,787.4,31.0,2.583333333333333,,,,100.0,90.9090909090909,76.92307692307692,3.175144,3175.144,7.0,112.0,0.2032,20.32,203.2,8.0,0.6666666666666666,[],"['black', 'blue', 'white']",['wood'],[],[],[],"['durable', 'rigid', 'tough']",MTurk
surfboard,0.06,6.0,60.0,2.362204724409449,0.19685039370078738,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,,,,500.0,454.5454545454545,384.6153846153846,5.5,5500.0,12.125434311010777,194.00694897617242,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,[],"['black', 'blue', 'green', 'or', 'red', 'white', 'yellow']",[],['oval'],['striped'],[],"['durable', 'fragile', 'hard', 'lightweight', 'water-resistant']",MTurk
surfboard,0.06,6.0,60.0,2.362204724409449,0.19685039370078738,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,25.0,77.0,298.15,700.0,636.3636363636364,538.4615384615385,4.0,4000.0,8.81849768073511,141.09596289176176,0.5,50.0,500.0,19.68503937007874,1.6404199475065615,[],"['black', 'blue', 'green', 'or', 'red', 'white', 'yellow']","['plastic', 'wax', 'wood']",[],[],"['beach', 'garage', 'ocean']","['durable', 'fragile', 'lightweight', 'maneuverable', 'stable', 'water-resistant']",MTurk
surfboard,,,,,,0.021,2.1,21.0,0.8267716535433072,0.0688976377952756,,,,,,,,,,,0.045,4.5,45.0,1.7716535433070868,0.14763779527559054,[],['red'],[],[],['striped'],['beach'],['durable'],MTurk
tennis racket,,,,,,0.6859999999999999,68.6,686.0,27.00787401574803,2.2506561679790025,,,,100.0,90.9090909090909,76.92307692307692,0.3,300.0,0.6613873260551333,10.582197216882133,0.27,27.0,270.0,10.62992125984252,0.8858267716535433,[],"['black', 'blue', 'green', 'grey', 'red', 'silver', 'white', 'yellow']",['rubber'],"['cylindrical', 'oval']",['grid'],"['closet', 'garage']","['durable', 'flexible', 'lightweight', 'strong']",MTurk
tennis racket,0.05,5.0,50.0,1.968503937007874,0.16404199475065617,0.7,70.0,700.0,27.559055118110237,2.296587926509186,,,,175.0,159.0909090909091,134.6153846153846,-0.05,-50.0,-0.11023122100918888,-1.763699536147022,0.3,30.0,300.0,11.811023622047244,0.9842519685039368,[],"['black', 'blue', 'green', 'red', 'silver', 'yellow']",['plastic'],"['circular', 'oval', 'rectangle']",['striped'],[],"['durable', 'flexible', 'lightweight', 'strong']",MTurk
tennis racket,0.025,2.5,25.0,0.984251968503937,0.08202099737532809,0.6900000000000001,69.0,690.0,27.165354330708663,2.263779527559055,25.0,77.0,298.15,150.0,136.36363636363635,115.38461538461537,0.3,300.0,0.6613873260551332,10.58219721688213,0.27,27.0,270.0,10.62992125984252,0.8858267716535433,['woven'],"['black', 'blue', 'green', 'grey', 'red', 'white', 'yellow']","['leather', 'rubber']","['oval', 't-shaped']",['grid'],['garage'],"['flexible', 'fragile', 'lightweight', 'powerful']",MTurk
bottle,0.12,12.0,120.0,4.724409448818898,0.39370078740157477,0.012400000000000001,1.2400000000000002,12.4,0.4881889763779528,0.04068241469816273,22.5,72.5,295.65,55.0,50.0,42.30769230769231,0.03,30.0,0.06613873260551333,1.0582197216882132,0.025,2.5,25.0,0.984251968503937,0.08202099737532809,[],"['blue', 'green', 'seal brown']","['glass', 'metal', 'plastic']","['cylindrical', 'rectangle', 'square']",[],[],[],MTurk
bottle,,,,,,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,20.0,68.0,293.15,1.0,0.9090909090909091,0.7692307692307692,0.15,150.0,0.3306936630275666,5.291098608441065,0.07,7.0,70.0,2.7559055118110236,0.22965879265091863,['bumpy'],"['black', 'blue', 'green', 'red', 'seal brown', 'white']","['glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'round', 'square']",[],['pantry'],"['durable', 'fragile', 'portable', 'reusable']",MTurk
