,colour,pattern,disposition,material,texture,location,shape,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,weight_kilograms,weight_grams,weight_pounds,weight_ounces,value_US dollars,value_euros,value_pounds,temperature_celsius,temperature_fahrenheit,temperature_kelvin,concept,model_name
79,[],[],['fresh'],[],['soft'],[],"['round', 'square']",20.5,35.0,350.0,14.0,12.0,0.1456,35.0,350.0,14.0,10.0,0.25,30.0,1200.0,14.0,12.0,3.5,150.0,1.5,14.5,5.0,8.0,1050.0,20.5,70.0,15000.0,pizza,qwen25_1b_standard
80,"['red', 'seal brown', 'white', 'yellow']",[],,,,,,0.45,30.0,,14.0,0.4,0.05,20.0,,10.0,0.2,0.5,28.0,280.0,14.0,0.67,0.3,,2.3,2.3,12.99,10.99,15.99,23.0,75.0,293.15,pizza,llama31_8b_standard
81,"['black', 'green', 'red', 'seal brown', 'white', 'yellow']",[],[],,,,,0.5,35.56,200.0,14.0,0.5,0.03,30.0,180.0,12.0,0.33,0.6,30.0,,14.0,1.5,0.35,350.0,1.5,16.5,15.99,10.99,12.99,25.0,75.0,293.15,pizza,llama31_8b_standard
82,['red'],,[],[],['soft'],[],"['circular', 'oval', 'rectangle', 'square']",0.4,30.0,250.0,12.0,1.97,0.2,30.0,,12.0,0.2,0.5,30.0,280.0,14.0,0.5,0.35,350.0,2.0,28.0,15.99,10.99,15.99,25.0,75.0,295.37,pizza,llama31_8b_standard
83,"['green', 'red', 'seal brown', 'white', 'yellow']",[],[],[],,,"['oval', 'rectangle', 'round', 'square']",0.4,30.0,280.0,14.0,0.5,0.2,25.7,120.0,12.0,0.15,0.5,30.0,420.0,12.0,0.5,0.25,340.0,1.5,24.0,15.99,12.99,15.99,25.0,75.0,323.15,pizza,llama31_8b_standard
84,"['gold', 'green', 'red', 'seal brown', 'white', 'yellow']",,[],,['soft'],,[],0.6,30.0,350.0,14.0,1.8,0.05,20.0,200.0,12.0,0.25,0.3,30.0,450.0,12.0,1.97,0.35,,2.4,16.0,15.99,10.99,12.99,23.0,70.0,300.0,pizza,llama31_8b_standard
85,"['red', 'seal brown', 'white', 'yellow']",,,,['soft'],,,0.35,30.0,250.0,12.0,0.6,0.05,30.0,250.0,14.0,0.2,0.35,30.0,,12.0,12.0,0.5,250.0,1.5,18.0,15.99,10.99,12.95,25.0,75.0,293.15,pizza,llama31_8b_standard
86,,,['edible'],[],,[],"['oval', 'rectangle', 'round', 'square']",0.5,30.0,300.0,12.0,0.25,0.025,30.0,210.0,12.0,0.12,0.3,28.0,300.0,12.0,0.5,0.5,,2.0,24.0,15.99,12.99,12.99,25.0,75.0,293.15,pizza,llama31_8b_standard
87,,[],[],[],[],[],"['oval', 'round', 'square']",0.8,50.0,280.0,14.0,0.5,0.25,30.0,300.0,12.0,0.2,0.35,30.0,450.0,14.0,0.5,0.25,250.0,1.5,26.0,15.99,12.99,10.99,25.0,75.0,293.15,pizza,llama31_8b_standard
88,,[],['edible'],[],['soft'],,"['circular', 'oval', 'rectangle', 'square']",0.6,30.0,300.0,12.0,0.3,0.2,30.0,200.0,12.0,0.2,0.4,40.0,280.0,12.0,0.5,0.5,350.0,2.5,26.45,15.99,12.99,15.99,22.0,75.0,293.15,pizza,llama31_8b_standard
89,"['green', 'red', 'seal brown', 'white', 'yellow']",[],,[],,[],[],0.5,30.0,380.0,14.0,0.6,0.12,30.0,240.0,12.0,0.125,0.3,30.0,350.0,14.0,12.0,0.4,350.0,2.5,25.4,15.99,10.99,15.99,20.5,75.2,293.15,pizza,llama31_8b_standard
90,,[],[],,['soft'],,[],0.3,30.0,300.0,12.0,0.8,0.12,25.0,250.0,12.0,0.12,0.45,,,12.0,0.3,0.25,250.0,1.5,26.45,15.99,10.99,12.99,25.0,75.0,298.15,pizza,llama31_8b_standard
91,"['green', 'red', 'seal brown', 'white', 'yellow']",,[],['water'],['soft'],,"['circular', 'oval', 'rectangle']",0.3,,300.0,14.0,0.9,0.15,30.0,250.0,12.0,0.17,0.55,30.0,300.0,14.0,0.5,0.5,320.0,1.5,2.0,15.99,10.99,12.99,22.5,77.5,323.15,pizza,llama31_8b_standard
92,,[],,,,[],"['circular', 'oval', 'rectangle', 'round']",0.5,40.0,280.0,12.0,0.6,0.05,30.0,280.0,12.0,0.12,0.45,,280.0,14.0,0.5,0.25,350.0,2.5,28.35,15.99,10.99,14.99,25.0,75.0,295.65,pizza,llama31_8b_standard
93,"['black', 'red', 'seal brown', 'white', 'yellow']",,[],,,[],,0.3,30.0,,14.0,0.5,0.03,13.0,,12.0,0.15,0.3,30.0,300.0,12.0,1.5,0.5,320.0,2.5,28.35,15.99,10.99,12.99,25.0,75.0,293.15,pizza,llama31_8b_standard
94,"['green', 'red', 'seal brown', 'white']",,,,,,[],0.35,30.0,,12.0,0.7,0.05,,220.0,12.0,0.2,0.35,30.0,350.0,12.0,2.3,250.0,250.0,1.5,28.0,15.99,12.99,12.95,22.0,75.0,293.15,pizza,llama31_8b_standard
95,"['black', 'green', 'red', 'seal brown', 'white', 'yellow']",[],,,['soft'],,[],0.6,35.0,250.0,14.0,0.8,0.03,20.5,250.0,12.0,0.15,0.3,28.0,280.0,14.0,0.46,0.5,,2.25,18.74,15.99,12.99,12.99,25.0,75.0,293.15,pizza,llama31_8b_standard
96,"['black', 'green', 'or', 'red', 'seal brown', 'white']",,[],[],['soft'],,"['circle', 'oval', 'rectangle', 'round', 'square']",0.5,30.0,320.0,14.0,0.8,0.1,25.0,250.0,12.0,0.12,0.35,30.0,,14.0,0.45,0.5,,1.4,1.5,15.99,10.99,15.99,25.0,75.2,293.15,pizza,llama31_8b_standard
97,,[],[],,,,"['oval', 'rectangle', 'round', 'square']",0.4,30.0,,14.0,0.75,0.15,25.0,240.0,10.0,0.12,0.35,50.0,350.0,14.0,1.5,0.5,250.0,1.5,24.6,15.99,10.99,10.99,20.5,75.2,293.15,pizza,llama31_8b_standard
98,,,[],[],,,[],0.5,28.0,240.0,14.0,0.9,0.05,,250.0,14.0,0.2,0.35,35.0,,,0.6,0.35,450.0,2.5,24.0,15.99,12.99,12.99,25.0,73.4,288.15,pizza,llama31_8b_standard
99,,,[],,,[],"['circle', 'oval', 'round', 'semicircle']",0.3,30.0,280.0,14.0,0.8,0.035,25.7,230.0,12.0,0.12,0.3,30.0,350.0,14.0,1.0,0.3,250.0,2.5,2.5,15.99,10.99,14.99,25.0,75.0,298.15,pizza,llama31_8b_standard
100,['red'],[],[],[],[],[],['triangle'],32.0,30.0,314.0,12.0,14.0,0.078,30.0,5.0,22.0,15.0,0.21,30.4,320.0,12.0,13.0,600.0,340.0,1.0,12.0,,200.0,7.0,15.0,,293.15,pizza,llama_30b_standard
101,['red'],[],[],[],[],[],['round'],0.5,,50.8,12.0,0.5,0.45,10.0,,,10.0,0.5,12.0,350.0,12.0,0.01,1.5,400.0,3.2,100.0,8.5,2.89,14.0,400.0,70.0,300.0,pizza,llama_30b_standard
102,['red'],[],[],[],[],['restaurant'],['round'],1000.0,30.0,305.8,15.0,1.0,5.0,18.0,254.0,12.5,18.0,1.5,30.0,10000000.0,16.0,12.0,2.15,0.5,3.0,45.4,14.99,5.5,0.0,,,,pizza,llama_30b_standard
103,[],[],[],[],[],['restaurant'],['circle'],4.2,30.0,50.0,12.0,12.0,,355.56,20.0,10.0,36.6,0.7,10.25,300.0,12.0,8.0,1.1,0.2472472472472473,3.0,16.0,15.5,10.0,15.0,70.0,,0.0,pizza,llama_30b_standard
104,['green'],[],[],[],[],['bakery'],['round'],1.0,20.0,5000.0,14.0,10.0,0.35,11.4,180.0,14.0,0.5,0.05331228867211914,16.0,1000.0,12.0,16.0,1.409439509973334,1.0,10.0,16.0,,1.5,2.0,25.5,100.0,,pizza,llama_30b_standard
105,['red'],[],"['fast', 'hot', 'sweet']",[],[],[],['round'],0.5,30.0,1989.0,14.0,1.0,0.05,30.48,500.0,14.0,5.5,50.0,26.0,,2.0,12.0,1.3,14000.0,4.62,0.0,1.0,1.56,1.98422849643673,20.0,35.0,,pizza,llama_30b_standard
106,['red'],[],['hot'],['water'],[],[],[],100.0,25.0,500.0,12.0,15.0,2.44,8.3,300.0,10.0,,0.1383025,32.0,,12.0,0.2,0.25,310.0,1.0,1.2,,2.5,11.75,10.0,80.0,320.0,pizza,llama_30b_standard
107,['red'],[],[],[],['soft'],[],['circle'],100.0,32.0,280.0,14.0,13.0,0.05,20.0,230.0,5.35,12.0,2.5,30.0,42.0,12.0,1.5,,567.0,2.0,16.0,14.0,5.0,10.0,35.0,,,pizza,llama_30b_standard
108,['red'],[],[],[],[],[],['circle'],0.5,130.0,300.0,10.0,1.0,0.045,0.15,10.0,12.0,18.0,0.23,30.5,300.0,16.0,18.0,100.0,500.0,1.5,,7.0,3.99,3.99,5.0,98.6,37.0,pizza,llama_30b_standard
109,['red'],[],[],[],['soft'],['pizzeria'],['round'],0.2,,2000.0,12.0,0.8,,30.0,245.0,18.0,20.0,0.75,25.4,500.0,12.0,20.2,2.0,810.0,2.11,6.5,20.0,,3.69,35.5,73.4,1000.0,pizza,llama_30b_standard
110,['red'],[],[],[],[],['restaurant'],['round'],0.2,,300.0,10.0,36.0,0.01,2.5,25.0,8.0,0.5,0.5,30.0,200.0,12.0,1.0,1.5,370.0,15.0,23.72,10.0,4.99,,100.0,40.0,45.0,pizza,llama_30b_standard
111,['red'],[],[],[],[],[],['round'],60.0,40.0,260.0,12.0,15.0,0.01,20.0,265.4,12.0,12.0,0.062,30.48,220.0,12.0,4.0,0.0,250.0,1.75,453.59237,10.0,10.0,14.0,12.621,10.0,47.7,pizza,llama_30b_standard
112,['white'],[],[],[],[],[],['round'],,25.4,240.0,12.0,10.0,0.05,,1600.0,48.0,3.1,2.0,25.0,300.0,4.5,12.0,,90.0,12.0,30.0,12.0,15.0,14.99,72.0,50.0,368.15,pizza,llama_30b_standard
113,[],[],[],[],[],[],[],3.0,180.0,,11.0,1.0,1.5,,25.4,14.0,1.5,0.5,10.0,610.0,14.0,18.0,1.2,12.5,0.5,1.34,10.51,0.01,2.2,0.1,,427.53,pizza,llama_30b_standard
114,['red'],[],[],[],[],[],['circle'],1.89,16.0,1800.0,12.0,28.0,,2.5,500.0,12.0,4.5,2.0,25.0,100.0,,12.3,3.6,2400.0,5.0,16.6,14.0,10.0,14.0,35.0,73.0,290.0,pizza,llama_30b_standard
115,['red'],[],[],[],[],['restaurant'],['circular'],0.44,10.0,400.0,12.0,12.0,0.05,3.5,2.5,22.0,3.0,0.1,25.0,300.0,16.0,0.1,0.25,0.185,,,5.0,2.26,0.5,31.1,108.0,329.3,pizza,llama_30b_standard
116,['purple'],[],[],[],[],[],['triangle'],0.5,30.0,300.0,10.0,12.0,0.05,,,12.0,12.0,0.33,18.5,230.0,12.0,1.0,1.0,0.0,1.25,8.0,0.9999999999999999,12.0,11.89,12.0,55.0,2.73,pizza,llama_30b_standard
117,['red'],[],[],[],[],[],['triangle'],0.002,0.0,300.0,14.0,14.0,0.42,400.0,300.0,13.0,1.6,0.5,24.0,304.8,12.5,0.001,0.5,,0.0,3500.0,4.99,5.0,1.1,,,25.0,pizza,llama_30b_standard
118,"['black', 'blue', 'green', 'orange', 'pink', 'purple', 'red', 'white', 'yellow']",[],[],[],['soft'],['shop'],['circle'],0.25,25.4,300.0,10.0,14.0,0.3,30.0,10.0,11.0,0.4266666666666667,0.5,28.0,300.0,12.0,3.5,1.0,1000.0,1.25,12.0,10.0,20.0,12.333333333333332,,,,pizza,llama_30b_standard
119,['red'],[],[],[],[],[],['circle'],1.25,30.0,10.0,14.0,12.0,0.05,16.0,38.0,8.5,1.144,0.289,30.48,200.0,12.0,35.274,2.8,450.0,20.0,10.0,11.99,27.0,27.0,20.0,,300.0,pizza,llama_30b_standard
