model,concept,domain,dimension,measurement,min_mean,min_std,max_mean,max_std
llama2_7b_chat,kite,weight,weight,grams,46.015,43.43926522350366,315.5,213.89803276573778
llama2_7b_chat,kite,weight,weight,kilograms,0.12,0.0894427190999916,9.75,1.1180339887498951
llama2_7b_chat,kite,weight,weight,ounces,0.265,0.2539685019840059,15.15,22.14610575247937
llama2_7b_chat,kite,weight,weight,pounds,0.5700000000000001,0.40013155731321015,17.525,15.832573850667556
llama2_7b_chat,knife,size,height,centimeters,8.0,2.513123449750173,32.5,7.163503994113789
llama2_7b_chat,knife,size,height,feet,0.5599999999999999,0.47284135539144745,12.1,7.665026521738029
llama2_7b_chat,knife,size,height,inches,1.325,1.0422016170234605,10.625,2.1574534208547576
llama2_7b_chat,knife,size,height,meters,6.33805,22.268874956752388,69.4,108.83517233340564
llama2_7b_chat,knife,size,height,millimeters,62.0,27.26092248506719,444.5,140.01785600415397
llama2_7b_chat,knife,size,length,centimeters,8.05,2.8557421378504637,34.0,6.8055704737872045
llama2_7b_chat,knife,size,length,feet,0.755,0.8463388645715205,14.925,20.249935022637793
llama2_7b_chat,knife,size,length,inches,1.6,1.2937094768634556,11.625,0.7758696309371352
llama2_7b_chat,knife,size,length,meters,3.7881050000000003,11.327832078068646,69.0,108.75612505437157
llama2_7b_chat,knife,size,length,millimeters,56.5,19.269556026896005,422.0,107.58595095134523
llama2_7b_chat,knife,size,width,centimeters,8.5,2.3508117299081364,33.5,4.8936048492959285
llama2_7b_chat,knife,size,width,feet,0.525,0.11180339887498947,10.925,3.635624177207366
llama2_7b_chat,knife,size,width,inches,1.625,1.2447257148718176,11.0,1.5217718205053639
llama2_7b_chat,knife,size,width,meters,2.55355,4.103197398627717,49.25,37.776176006634266
llama2_7b_chat,knife,size,width,millimeters,53.0,18.381913307436342,446.5,108.49569479695352
llama2_7b_chat,knife,temperature,temperature,celsius,-1.0,4.47213595499958,160.0,208.7557121815378
llama2_7b_chat,knife,temperature,temperature,fahrenheit,32.0,0.0,191.5,41.810978160488446
llama2_7b_chat,knife,temperature,temperature,kelvin,-44.9725,110.92488031261705,501790.0,2235648.393619788
llama2_7b_chat,knife,value,monetary_value,US dollars,6.794500000000001,2.306472528844813,134.9945,191.8297903014682
llama2_7b_chat,knife,value,monetary_value,euros,4.904,1.760171642348074,239.24899999999997,231.63283334440712
llama2_7b_chat,knife,value,monetary_value,pounds,0.475,0.11180339887498947,13.975,22.879245363889357
llama2_7b_chat,knife,weight,weight,grams,40.52505,34.22407313031205,535.0,284.7436520248012
llama2_7b_chat,knife,weight,weight,kilograms,0.1265,0.1318402142946649,29.75,34.848355696314314
llama2_7b_chat,knife,weight,weight,ounces,0.44000000000000006,0.14653901941300929,5.5,2.090076805438398
llama2_7b_chat,knife,weight,weight,pounds,0.5,0.0,5.775,3.614572115610279
llama2_7b_chat,motorcycle,size,height,centimeters,90.5,24.38183102661747,152.5,36.40054944640259
llama2_7b_chat,motorcycle,size,height,feet,21.825,26.86676434399553,41.575,50.614194753313186
llama2_7b_chat,motorcycle,size,height,inches,33.8,18.894722181492625,69.85,26.721320090302818
llama2_7b_chat,motorcycle,size,height,meters,1.3,0.37696851746252596,3.475,1.609797306626226
llama2_7b_chat,motorcycle,size,height,millimeters,415.0,315.0187964316783,1545.0,2101.309115765693
llama2_7b_chat,motorcycle,size,length,centimeters,97.5,7.8639751565704925,285.5,415.5969074399907
llama2_7b_chat,motorcycle,size,length,feet,12.05,18.21790617121402,21.225,28.681313832491963
llama2_7b_chat,motorcycle,size,length,inches,43.9,20.400980368599935,87.35,26.206216618842262
llama2_7b_chat,motorcycle,size,length,meters,1.2,0.3769685174625259,3.975,2.191340613462573
llama2_7b_chat,motorcycle,size,length,millimeters,600.0,369.9217555959069,1582.5,722.6185934356708
llama2_7b_chat,motorcycle,size,width,centimeters,92.0,16.09184167275619,214.5,302.87178110460155
llama2_7b_chat,motorcycle,size,width,feet,11.625,17.238936192602825,26.475,35.48330778801417
llama2_7b_chat,motorcycle,size,width,inches,36.3,23.452303219850062,110.4,211.47760861937232
llama2_7b_chat,motorcycle,size,width,meters,0.9800000000000001,0.515649819976799,5.0,3.0218502523070896
llama2_7b_chat,motorcycle,size,width,millimeters,437.5,343.69317712168805,1565.0,727.6675064890559
llama2_7b_chat,motorcycle,temperature,temperature,celsius,-0.25,4.993416718672275,64.75,19.89941813484161
llama2_7b_chat,motorcycle,temperature,temperature,fahrenheit,32.8,2.46234804500437,104.6,8.028895185188114
llama2_7b_chat,motorcycle,temperature,temperature,kelvin,0.5,8.87041208323017,89.0,19.9736668746891
llama2_7b_chat,motorcycle,value,monetary_value,US dollars,765.0,480.4329188072818,3975.0,2408.7286447855695
llama2_7b_chat,motorcycle,value,monetary_value,euros,775.0,255.20889276702022,4250.0,1208.5223687584248
llama2_7b_chat,motorcycle,value,monetary_value,pounds,237.5,84.09737463828839,855.0,88.70412083230168
llama2_7b_chat,motorcycle,weight,weight,grams,62.0,37.077443845352434,395.0,189.11149593490302
llama2_7b_chat,motorcycle,weight,weight,kilograms,120.5,32.52124811484591,447.5,75.17523388373118
llama2_7b_chat,motorcycle,weight,weight,ounces,103.5,72.40420168092895,632.5,200.1808392955046
llama2_7b_chat,motorcycle,weight,weight,pounds,285.0,63.03716531163436,825.0,63.86663736585051
llama2_7b_chat,orange,size,height,centimeters,5.475,0.8346918750747425,21.4,30.449958949069206
llama2_7b_chat,orange,size,height,feet,1.3,0.8335087534664907,6.675,3.632003217016892
llama2_7b_chat,orange,size,height,inches,1.6,0.6407232755171874,4.35,1.6944180805158293
llama2_7b_chat,orange,size,height,meters,2.43505,4.9096072892045575,30.625,43.2851241615894
llama2_7b_chat,orange,size,height,millimeters,50.5,6.048053188292993,177.0,47.139211524567266
llama2_7b_chat,orange,size,length,centimeters,5.7,1.105012502906165,15.475,3.4277313350470098
llama2_7b_chat,orange,size,length,feet,1.3,0.7677718959499146,6.325,3.285834829433121
llama2_7b_chat,orange,size,length,inches,1.5,0.6488856845230502,3.925,1.3106346393616861
llama2_7b_chat,orange,size,length,meters,7.9305,22.08679469132726,53.05,111.50795345718855
llama2_7b_chat,orange,size,length,millimeters,51.0,3.077935056255462,161.0,29.000907426819378
llama2_7b_chat,orange,size,width,centimeters,5.525,0.8807144229185997,14.525,1.8171333699567918
llama2_7b_chat,orange,size,width,feet,1.25,1.019545822516343,7.1,3.6186650635428066
llama2_7b_chat,orange,size,width,inches,1.8,0.6569466853317862,4.425,1.8797746225489234
llama2_7b_chat,orange,size,width,meters,2.871,5.185949540014726,46.225,64.28810051962223
llama2_7b_chat,orange,size,width,millimeters,52.0,8.94427190999916,161.5,45.45385166934643
llama2_7b_chat,orange,temperature,temperature,celsius,1.0,3.0779350562554617,31.0,4.47213595499958
llama2_7b_chat,orange,temperature,temperature,fahrenheit,32.0,0.0,84.55,10.379509165963283
llama2_7b_chat,orange,temperature,temperature,kelvin,4.25,7.826237921249264,42.0,6.155870112510924
llama2_7b_chat,orange,value,monetary_value,US dollars,0.8240000000000001,0.4359309457628401,5.174,4.066581908808997
llama2_7b_chat,orange,value,monetary_value,euros,0.5,0.0,3.85,2.195090215146425
llama2_7b_chat,orange,value,monetary_value,pounds,0.5,0.0,2.525,0.47225662069416635
llama2_7b_chat,orange,weight,weight,grams,65.025,46.131980287682836,360.675,260.90688372230466
llama2_7b_chat,orange,weight,weight,kilograms,0.05900000000000001,0.0436372607563283,33.05,40.84917701934636
llama2_7b_chat,orange,weight,weight,ounces,0.5,0.0,2.025,0.6781359900879997
llama2_7b_chat,orange,weight,weight,pounds,0.525,0.11180339887498947,2.775,0.8025452930323753
llama2_7b_chat,parking meter,size,height,centimeters,21.25,30.77400646136623,62.5,63.979848801256
llama2_7b_chat,parking meter,size,height,feet,6.125,2.276163670000815,13.1,4.200877101398306
llama2_7b_chat,parking meter,size,height,inches,7.705,4.338745270964382,19.475,11.13490836111938
llama2_7b_chat,parking meter,size,height,meters,0.9800000000000001,0.6304551405219299,5.575,2.4348078925624113
llama2_7b_chat,parking meter,size,height,millimeters,115.0,28.56202852887397,530.0,126.0743306232687
llama2_7b_chat,parking meter,size,length,centimeters,15.0,5.619514869490164,54.0,33.150375087184955
llama2_7b_chat,parking meter,size,length,feet,5.875,2.480847690439277,13.45,7.050382595068306
llama2_7b_chat,parking meter,size,length,inches,5.535,5.106345381767153,15.475,11.187957576646513
llama2_7b_chat,parking meter,size,length,meters,0.8550000000000001,0.7214568594171101,5.325,1.9006577808748213
llama2_7b_chat,parking meter,size,length,millimeters,100.0,0.0,560.0,153.5543791899829
llama2_7b_chat,parking meter,size,width,centimeters,14.25,4.063638504436245,46.0,26.63594721819606
llama2_7b_chat,parking meter,size,width,feet,5.0,1.8848425873126298,11.625,3.459825824639458
llama2_7b_chat,parking meter,size,width,inches,6.1875,4.7909419741842,16.625,11.709055200322975
llama2_7b_chat,parking meter,size,width,meters,0.8800000000000001,0.6985699678629192,6.525,2.6331639963319695
llama2_7b_chat,parking meter,size,width,millimeters,107.5,18.317377426626162,565.0,153.12533566021213
llama2_7b_chat,parking meter,temperature,temperature,celsius,0.5,6.668859288553502,32.0,4.103913408340616
llama2_7b_chat,parking meter,temperature,temperature,fahrenheit,32.0,0.0,115.0,8.885233166386383
llama2_7b_chat,parking meter,temperature,temperature,kelvin,6.0,8.825799501580876,98.0,75.29590748646653
llama2_7b_chat,parking meter,value,monetary_value,US dollars,0.25,0.0,6.0,3.568871264876776
llama2_7b_chat,parking meter,value,monetary_value,euros,0.488,0.30776956519961146,5.0,0.0
llama2_7b_chat,parking meter,value,monetary_value,pounds,0.043,0.0759570515766017,9.5,13.85070775314958
llama2_7b_chat,parking meter,weight,weight,grams,37.54105,45.487691509815114,530.5,1115.0287935862086
llama2_7b_chat,parking meter,weight,weight,kilograms,2.0471,4.081221655338019,66.0,40.5748171834906
llama2_7b_chat,parking meter,weight,weight,ounces,0.14400000000000002,0.22514089156044395,12.0,4.103913408340617
llama2_7b_chat,parking meter,weight,weight,pounds,23.0,12.182817926554552,110.25,163.96786430979637
llama2_7b_chat,person,size,height,centimeters,147.3684210526316,11.470786693528087,202.6315789473684,11.470786693528083
llama2_7b_chat,person,size,height,feet,3.35,0.5404676337745812,7.6,0.7880689256524122
llama2_7b_chat,person,size,height,inches,26.185000000000002,14.085650593124159,59.94500000000001,31.36294284997067
llama2_7b_chat,person,size,height,meters,1.5,0.0,2.5,0.0
llama2_7b_chat,person,size,height,millimeters,118.42105263157895,24.779731389167605,215.78947368421052,23.878346647045962
llama2_7b_chat,person,size,length,centimeters,139.47368421052633,20.94269541458478,207.89473684210526,18.731716231633882
llama2_7b_chat,person,size,length,feet,3.325,0.5199949392466289,7.7,0.6569466853317864
llama2_7b_chat,person,size,length,inches,14.9,14.533627069299449,37.0,37.131700175116364
llama2_7b_chat,person,size,length,meters,1.45,0.22360679774997894,2.475,0.1118033988749895
llama2_7b_chat,person,size,length,millimeters,113.15789473684211,22.620696417943208,213.1578947368421,22.620696417943208
llama2_7b_chat,person,size,width,centimeters,137.5,22.213082915965963,202.5,11.180339887498944
llama2_7b_chat,person,size,width,feet,3.575,0.6934847169416057,7.6,0.7362779795416233
llama2_7b_chat,person,size,width,inches,24.075,14.477091704155441,55.775,32.99380922792064
llama2_7b_chat,person,size,width,meters,1.5,0.0,2.5,0.0
llama2_7b_chat,person,size,width,millimeters,113.88888888888889,23.04442994812384,216.66666666666666,24.253562503633294
llama2_7b_chat,person,temperature,temperature,celsius,15.1,12.319859876168278,48.1,27.285816635638458
llama2_7b_chat,person,temperature,temperature,fahrenheit,50.6,5.697644942845845,100.0,0.0
llama2_7b_chat,person,temperature,temperature,kelvin,25.4,5.585696017507577,57.0,26.969768650335727
llama2_7b_chat,person,value,monetary_value,US dollars,8505.5,3650.0864805904903,92505.0,24448.129300946308
llama2_7b_chat,person,value,monetary_value,euros,1031.0,2392.982943612648,32925.0,41069.349244520796
llama2_7b_chat,person,value,monetary_value,pounds,102.0,4.103913408340618,242.0,17.044832524535806
llama2_7b_chat,person,weight,weight,grams,40.5,2.2360679774997894,119.0,15.525869752736794
llama2_7b_chat,person,weight,weight,kilograms,42.0,5.231483637805971,127.0,16.575187543592474
llama2_7b_chat,person,weight,weight,ounces,81.0,19.9736668746891,252.5,11.180339887498944
llama2_7b_chat,person,weight,weight,pounds,100.5,2.236067977499789,248.5,6.708203932499373
llama2_7b_chat,sandwich,size,height,centimeters,8.0,10.052493799000692,39.75,63.85582032574388
llama2_7b_chat,sandwich,size,height,feet,0.75,0.6177207681213422,10.0,0.0
llama2_7b_chat,sandwich,size,height,inches,2.8,0.9651833749958716,10.9,1.5183093090324966
llama2_7b_chat,sandwich,size,height,meters,0.0775,0.03998354924873874,23.5,32.971279367927096
llama2_7b_chat,sandwich,size,height,millimeters,49.0,4.4721359549995805,367.5,189.3722316108229
llama2_7b_chat,sandwich,size,length,centimeters,5.5,1.538967528127731,24.25,6.129093691051248
llama2_7b_chat,sandwich,size,length,feet,0.625,0.2750598021100904,9.55,1.3945382182304162
llama2_7b_chat,sandwich,size,length,inches,2.7,1.0930401832070324,10.8,1.8806493839265086
llama2_7b_chat,sandwich,size,length,meters,0.5781,2.2203201499831176,76.5,220.54418342387825
llama2_7b_chat,sandwich,size,length,millimeters,50.0,0.0,437.5,233.32550112168238
llama2_7b_chat,sandwich,size,width,centimeters,6.0,2.0519567041703084,32.75,39.7185824202436
llama2_7b_chat,sandwich,size,width,feet,0.75,0.8029550685469661,9.35,2.2542357790099112
llama2_7b_chat,sandwich,size,width,inches,2.8,1.0052493799000692,11.425,0.907207978243949
llama2_7b_chat,sandwich,size,width,meters,1.063,3.0566684650552403,18.5,22.774639635487443
llama2_7b_chat,sandwich,size,width,millimeters,48.025,11.406917338084586,301.5,213.54834285669864
llama2_7b_chat,sandwich,temperature,temperature,celsius,7.5,4.135850959342555,44.0,29.938533522430323
llama2_7b_chat,sandwich,temperature,temperature,fahrenheit,35.5,2.2360679774997902,172.5,8.660254037844387
llama2_7b_chat,sandwich,temperature,temperature,kelvin,29.5,85.1917342172782,145.5,106.69558270341399
llama2_7b_chat,sandwich,value,monetary_value,US dollars,3.8945,1.0259397489234212,14.494499999999999,2.6674499452710103
llama2_7b_chat,sandwich,value,monetary_value,euros,2.649,0.32736427480874064,11.373999999999999,2.745260796737764
llama2_7b_chat,sandwich,value,monetary_value,pounds,0.775,0.25520889276702025,13.5,20.461774373849295
llama2_7b_chat,sandwich,weight,weight,grams,34.0,14.653901941300928,357.5,329.7826237802235
llama2_7b_chat,sandwich,weight,weight,kilograms,18.6005,29.001840318195416,72.5,113.16615636915668
llama2_7b_chat,sandwich,weight,weight,ounces,1.0,0.28097574347450816,14.3,20.191452073640107
llama2_7b_chat,sandwich,weight,weight,pounds,0.875,0.2221308291596596,13.5,20.4617743738493
llama2_7b_chat,sheep,size,height,centimeters,38.0,13.611140947574413,148.5,59.318498046783986
llama2_7b_chat,sheep,size,height,feet,3.1,4.517801048717116,11.5,13.713228342696967
llama2_7b_chat,sheep,size,height,inches,9.1,5.354781434430944,19.5,9.260840021009802
llama2_7b_chat,sheep,size,height,meters,1.7600000000000002,3.566422355954582,22.75,26.181301081416663
llama2_7b_chat,sheep,size,height,millimeters,75.0,25.649458802128855,465.0,218.30688201896456
llama2_7b_chat,sheep,size,length,centimeters,37.0,13.018205875255097,152.5,37.957732725812406
llama2_7b_chat,sheep,size,length,feet,1.35,1.101434471376687,7.025,3.679512982647797
llama2_7b_chat,sheep,size,length,inches,8.8,7.125565536189133,20.125,13.094670470723656
llama2_7b_chat,sheep,size,length,meters,1.0,2.1776375417313814,10.925,13.572684449212495
llama2_7b_chat,sheep,size,length,millimeters,65.0,23.508117299081363,425.0,235.91925469711475
llama2_7b_chat,sheep,size,width,centimeters,32.5,15.1744244666721,131.0,51.28865679455325
llama2_7b_chat,sheep,size,width,feet,3.775,5.943760549827374,14.625,23.54831260017986
llama2_7b_chat,sheep,size,width,inches,7.85,6.811561379085756,25.15,24.877119058114005
llama2_7b_chat,sheep,size,width,meters,0.38,0.36070107174486565,14.5,22.530680836303382
llama2_7b_chat,sheep,size,width,millimeters,74.5,30.170567742333535,364.0,157.86069808536894
llama2_7b_chat,sheep,temperature,temperature,celsius,-2.25,10.818478344213226,31.25,6.042611843792123
llama2_7b_chat,sheep,temperature,temperature,fahrenheit,32.0,0.0,92.2,9.64419650960045
llama2_7b_chat,sheep,temperature,temperature,kelvin,-2.9,12.887774704816394,80.0,60.349857192522784
llama2_7b_chat,sheep,value,monetary_value,US dollars,14.9095,21.051436124282276,508.67449999999997,1106.005527517714
llama2_7b_chat,sheep,value,monetary_value,euros,21.3155,24.212349279480893,852.5,2186.530236169674
llama2_7b_chat,sheep,value,monetary_value,pounds,27.755000000000003,23.507232369724225,140.95,84.79152452680013
llama2_7b_chat,sheep,weight,weight,grams,24.5,8.255779474818965,124.0,27.02825032793417
llama2_7b_chat,sheep,weight,weight,kilograms,21.25,3.193331868292526,110.0,22.478059477960656
llama2_7b_chat,sheep,weight,weight,ounces,28.0,12.81446551034375,192.5,129.7315041071163
llama2_7b_chat,sheep,weight,weight,pounds,49.0,3.077935056255462,305.0,94.45132413883326
llama2_7b_chat,skateboard,size,height,centimeters,86.5,29.42877217246665,136.0,18.467610337532772
llama2_7b_chat,skateboard,size,height,feet,3.175,0.8626001086067757,8.45,7.96191592916918
llama2_7b_chat,skateboard,size,height,inches,26.225,4.047335055642364,40.475,5.09249964473037
llama2_7b_chat,skateboard,size,height,meters,0.5,0.0,2.025,0.4993416718672275
llama2_7b_chat,skateboard,size,height,millimeters,355.0,220.58534569830815,861.0,499.89367290507516
llama2_7b_chat,skateboard,size,length,centimeters,89.0,19.166857359844663,134.5,16.693837501494848
llama2_7b_chat,skateboard,size,length,feet,3.225,1.044723584696475,7.575,1.7035180316658012
llama2_7b_chat,skateboard,size,length,inches,25.625,7.324930393058891,40.575,11.398609102591603
llama2_7b_chat,skateboard,size,length,meters,0.5,0.0,1.9,0.3077935056255463
llama2_7b_chat,skateboard,size,length,millimeters,337.5,203.82848827280975,833.5,514.9069921124744
llama2_7b_chat,skateboard,size,width,centimeters,96.5,13.48488432516786,143.5,15.312533566021212
llama2_7b_chat,skateboard,size,width,feet,3.475,0.3795773272581242,15.125,13.891378431849091
llama2_7b_chat,skateboard,size,width,inches,27.0,8.956032956381385,42.7,12.481987021303938
llama2_7b_chat,skateboard,size,width,meters,0.5,0.0,2.75,2.5105042479444974
llama2_7b_chat,skateboard,size,width,millimeters,260.0,216.794833886788,692.0,587.4351027985986
llama2_7b_chat,skateboard,temperature,temperature,celsius,7.0,7.847225456708954,31.75,3.7257991018529735
llama2_7b_chat,skateboard,temperature,temperature,fahrenheit,39.5,8.382312204561272,99.0,4.472135954999579
llama2_7b_chat,skateboard,temperature,temperature,kelvin,14.0,10.46296727561194,54.0,25.005262603994723
llama2_7b_chat,skateboard,value,monetary_value,US dollars,50.0,0.0,610.0,466.3971652888487
llama2_7b_chat,skateboard,value,monetary_value,euros,52.5,11.180339887498949,670.0,483.24560607363384
llama2_7b_chat,skateboard,value,monetary_value,pounds,42.025,20.362811174967185,142.0,64.93721664240898
llama2_7b_chat,skateboard,weight,weight,grams,52.0,23.75311613906246,150.0,0.0
llama2_7b_chat,skateboard,weight,weight,kilograms,36.5,8.12727700887249,118.5,18.99445902583726
llama2_7b_chat,skateboard,weight,weight,ounces,69.0,23.81949665825522,244.5,13.945382182304158
llama2_7b_chat,skateboard,weight,weight,pounds,63.75,17.98208172481414,248.5,6.7082039324993685
llama2_7b_chat,skis,size,height,centimeters,114.0,22.337129816094382,214.0,24.580694178883338
llama2_7b_chat,skis,size,height,feet,2.525,1.5683967677385182,32.825,47.760993498879394
llama2_7b_chat,skis,size,height,inches,10.05,9.92060588132759,20.775,20.022668075012014
llama2_7b_chat,skis,size,height,meters,1.3,0.41039134083406165,3.175,0.29357147430619984
llama2_7b_chat,skis,size,height,millimeters,100.0,0.0,217.5,24.468024246479647
llama2_7b_chat,skis,size,length,centimeters,91.0,44.70958922223568,206.5,33.603727863375354
llama2_7b_chat,skis,size,length,feet,2.2,1.3018205875255096,23.575,22.200210406779103
llama2_7b_chat,skis,size,length,inches,14.775,26.149104342113457,55.825,67.66350081177637
llama2_7b_chat,skis,size,length,meters,1.3,0.4103913408340616,3.275,0.34316637057662985
llama2_7b_chat,skis,size,length,millimeters,105.0,15.389675281277315,224.0,35.451968989932816
llama2_7b_chat,skis,size,width,centimeters,95.75,47.49722983612058,198.75,52.160556785856166
llama2_7b_chat,skis,size,width,feet,2.275,1.5258733478517181,24.225,33.18507709958293
llama2_7b_chat,skis,size,width,inches,13.425,26.765686497532812,45.175,58.27414227506688
llama2_7b_chat,skis,size,width,meters,1.35,0.36634754853252316,3.35,0.28562028528873973
llama2_7b_chat,skis,size,width,millimeters,105.0,15.389675281277311,225.0,34.412360080584264
llama2_7b_chat,skis,temperature,temperature,celsius,-12.25,5.49521322798785,23.5,4.616902584383193
llama2_7b_chat,skis,temperature,temperature,fahrenheit,-20.25,1.118033988749895,40.5,2.2360679774997894
llama2_7b_chat,skis,temperature,temperature,kelvin,-19.5,2.23606797749979,23.25,5.683540408842658
llama2_7b_chat,skis,value,monetary_value,US dollars,57.5,18.317377426626162,675.0,293.57147430619995
llama2_7b_chat,skis,value,monetary_value,euros,53.0,24.516374764204993,650.0,285.6202852887397
llama2_7b_chat,skis,value,monetary_value,pounds,8.4,4.414688401712008,52.0,36.324560344352776
llama2_7b_chat,skis,weight,weight,grams,243.5,171.22699614992467,1506.5,1336.9063857318233
llama2_7b_chat,skis,weight,weight,kilograms,37.25,6.781359900879997,122.0,10.563093645728085
llama2_7b_chat,skis,weight,weight,ounces,5.125,3.821252894563578,137.0,87.65062223936215
llama2_7b_chat,skis,weight,weight,pounds,41.0,29.5403381657585,240.0,20.51956704170308
llama2_7b_chat,snowboard,size,height,centimeters,116.0,8.20782681668123,165.0,10.513149660756937
llama2_7b_chat,snowboard,size,height,feet,4.475,0.4722566206941663,7.625,0.840973746382884
llama2_7b_chat,snowboard,size,height,inches,34.875,35.04954200466594,54.5,49.93574819073427
llama2_7b_chat,snowboard,size,height,meters,1.4849999999999999,0.06708203932499371,3.05,0.3940344628262062
llama2_7b_chat,snowboard,size,height,millimeters,108.0,16.091841672756185,167.0,11.285761872936694
llama2_7b_chat,snowboard,size,length,centimeters,112.5,10.69923755276638,164.0,8.825799501580876
llama2_7b_chat,snowboard,size,length,feet,10.15,25.857962226871553,15.525,36.366003137690655
llama2_7b_chat,snowboard,size,length,inches,78.725,55.379902064120515,114.375,76.91551670844001
llama2_7b_chat,snowboard,size,length,meters,1.4849999999999999,0.06708203932499371,3.125,0.35817519970568945
llama2_7b_chat,snowboard,size,length,millimeters,107.5,13.327849749579576,169.5,10.990426455975697
llama2_7b_chat,snowboard,size,width,centimeters,118.0,11.516578439248716,165.0,10.51314966075694
llama2_7b_chat,snowboard,size,width,feet,4.575,0.612909369105125,7.85,1.308876577350532
llama2_7b_chat,snowboard,size,width,inches,37.525,33.99670069131322,65.025,52.47316983594167
llama2_7b_chat,snowboard,size,width,meters,1.4849999999999999,0.0670820393249937,2.975,0.41278897374094825
llama2_7b_chat,snowboard,size,width,millimeters,112.0,13.992479182911456,169.5,10.9904264559757
llama2_7b_chat,snowboard,temperature,temperature,celsius,-11.25,5.5901699437494745,21.25,3.9319875782852454
llama2_7b_chat,snowboard,temperature,temperature,fahrenheit,-1.0,19.973666874689098,41.5,6.708203932499369
llama2_7b_chat,snowboard,temperature,temperature,kelvin,-19.5,2.23606797749979,22.5,5.256574830378468
llama2_7b_chat,snowboard,value,monetary_value,US dollars,200.0,56.19514869490163,925.0,148.23523268955435
llama2_7b_chat,snowboard,value,monetary_value,euros,200.0,161.4082760546911,830.0,458.9461612731589
llama2_7b_chat,snowboard,value,monetary_value,pounds,51.0,43.637260756328295,147.0,68.60259316872566
llama2_7b_chat,snowboard,weight,weight,grams,27.55,23.07932544850249,121.5,47.685924216911765
llama2_7b_chat,snowboard,weight,weight,kilograms,42.5,4.442616583193193,115.5,9.445132413883327
llama2_7b_chat,snowboard,weight,weight,ounces,21.525,33.71220105540426,128.25,92.71170652250875
llama2_7b_chat,snowboard,weight,weight,pounds,112.0,10.052493799000692,248.5,6.70820393249937
llama2_7b_chat,spoon,size,height,centimeters,10.175,16.533279835086052,37.3,51.42378110522304
llama2_7b_chat,spoon,size,height,feet,1.725,2.262247368855744,4.9,4.24759994151496
llama2_7b_chat,spoon,size,height,inches,4.075,2.13538484144021,9.575,4.056427647962909
llama2_7b_chat,spoon,size,height,meters,0.11750000000000001,0.1365698202000489,8.35,3.0135658193191035
llama2_7b_chat,spoon,size,height,millimeters,51.5,11.367080817685315,178.0,45.607017003965524
llama2_7b_chat,spoon,size,length,centimeters,6.675,2.13538484144021,45.5,66.6779376437293
llama2_7b_chat,spoon,size,length,feet,1.1,1.6905309038411884,3.825,3.341426578416376
llama2_7b_chat,spoon,size,length,inches,3.85,1.7252002172135512,9.85,3.065512750104398
llama2_7b_chat,spoon,size,length,meters,0.1065,0.098262537702776,9.15,3.51350776889781
llama2_7b_chat,spoon,size,length,millimeters,55.5,19.04979624148524,209.5,102.31401612065105
llama2_7b_chat,spoon,size,width,centimeters,7.775,1.7952788963805801,18.75,4.755882783735484
llama2_7b_chat,spoon,size,width,feet,1.1125,1.5357044500471884,4.025,3.915135945747505
llama2_7b_chat,spoon,size,width,inches,4.2,1.6495613452002769,10.425,2.898615822114156
llama2_7b_chat,spoon,size,width,meters,0.08805,0.10651042696671337,20.4,28.755594421369832
llama2_7b_chat,spoon,size,width,millimeters,50.0,19.735087641318604,197.5,34.31663705766298
llama2_7b_chat,spoon,temperature,temperature,celsius,1.75,6.74244216258393,95.0,8.885233166386387
llama2_7b_chat,spoon,temperature,temperature,fahrenheit,36.3,4.691537734665412,170.1,21.476792860642565
llama2_7b_chat,spoon,temperature,temperature,kelvin,18.25,85.21296849658508,219.0,235.97279058132284
llama2_7b_chat,spoon,value,monetary_value,US dollars,4.9965,2.3630984900516125,36.197,43.70876367623847
llama2_7b_chat,spoon,value,monetary_value,euros,3.8255000000000003,2.965246905491399,130.525,251.53996621861734
llama2_7b_chat,spoon,value,monetary_value,pounds,0.44000000000000006,0.1465390194130093,3.9,3.148098841489808
llama2_7b_chat,spoon,weight,weight,grams,36.755,29.474707712492112,650.0,1068.4469792031896
llama2_7b_chat,spoon,weight,weight,kilograms,0.073,0.04231461113834645,75.75,220.2168488701893
llama2_7b_chat,spoon,weight,weight,ounces,0.175,0.14734492293862544,8.9,5.930740612311949
llama2_7b_chat,spoon,weight,weight,pounds,0.2,0.17770466332772772,14.95,20.471996277328387
llama2_7b_chat,sports ball,size,height,centimeters,6.225,1.7731550827179277,28.1,29.45764131051479
llama2_7b_chat,sports ball,size,height,feet,1.375,1.8415882733176416,12.0,0.0
llama2_7b_chat,sports ball,size,height,inches,4.0,2.4762025255153146,12.0,0.0
llama2_7b_chat,sports ball,size,height,meters,0.27549999999999997,0.20927129206895656,19.4,28.186222838378622
llama2_7b_chat,sports ball,size,height,millimeters,54.0,5.982430416161189,137.0,30.10507913083246
llama2_7b_chat,sports ball,size,length,centimeters,6.375,2.4914326886563205,21.125,6.095457756654368
llama2_7b_chat,sports ball,size,length,feet,1.325,1.7864622493691416,11.6,0.820782681668123
llama2_7b_chat,sports ball,size,length,inches,4.925,2.072850821047137,12.0,0.0
llama2_7b_chat,sports ball,size,length,meters,0.22000000000000003,0.18806493839265093,17.1,20.203960007879644
llama2_7b_chat,sports ball,size,length,millimeters,53.0,4.701623459816273,131.0,26.337885460422136
